program_id,geo_type,geo_value
a1c3c8ddcd8f,zip,33604
a1c3c8ddcd8f,zip,33605
a1c3c8ddcd8f,zip,33606
a1c3c8ddcd8f,zip,33607
a1c3c8ddcd8f,zip,33609
a1c3c8ddcd8f,zip,33610
a1c3c8ddcd8f,zip,33611
a1c3c8ddcd8f,zip,33612
a1c3c8ddcd8f,zip,33613
a1c3c8ddcd8f,zip,33614
a1c3c8ddcd8f,zip,33615
a1c3c8ddcd8f,zip,33616
a1c3c8ddcd8f,zip,33617
a1c3c8ddcd8f,zip,33618
a1c3c8ddcd8f,zip,33619
a1c3c8ddcd8f,zip,33620
a1c3c8ddcd8f,zip,33621
a1c3c8ddcd8f,zip,33624
a1c3c8ddcd8f,zip,33625
a1c3c8ddcd8f,zip,33626
a1c3c8ddcd8f,zip,33629
a1c3c8ddcd8f,zip,33634
a1c3c8ddcd8f,zip,33635
a1c3c8ddcd8f,zip,33637
a1c3c8ddcd8f,zip,33647
a1c3c8ddcd8f,county,Hillsborough
88e20522b69c,zip,33508
88e20522b69c,zip,33509
88e20522b69c,zip,33510
88e20522b69c,zip,33511
88e20522b69c,zip,33527
88e20522b69c,zip,33530
88e20522b69c,zip,33534
88e20522b69c,zip,33547
88e20522b69c,zip,33548
88e20522b69c,zip,33549
88e20522b69c,zip,33550
88e20522b69c,zip,33556
88e20522b69c,zip,33558
88e20522b69c,zip,33559
88e20522b69c,zip,33563
88e20522b69c,zip,33564
88e20522b69c,zip,33565
88e20522b69c,zip,33566
88e20522b69c,zip,33567
88e20522b69c,zip,33569
88e20522b69c,zip,33570
88e20522b69c,zip,33572
88e20522b69c,zip,33573
88e20522b69c,zip,33578
88e20522b69c,zip,33579
88e20522b69c,zip,33584
88e20522b69c,zip,33586
88e20522b69c,zip,33592
88e20522b69c,zip,33594
88e20522b69c,zip,33596
88e20522b69c,zip,33598
88e20522b69c,zip,33602
88e20522b69c,zip,33603
88e20522b69c,zip,33604
88e20522b69c,zip,33605
88e20522b69c,zip,33606
88e20522b69c,zip,33607
88e20522b69c,zip,33609
88e20522b69c,zip,33610
88e20522b69c,zip,33611
88e20522b69c,zip,33612
88e20522b69c,zip,33613
88e20522b69c,zip,33614
88e20522b69c,zip,33615
88e20522b69c,zip,33616
88e20522b69c,zip,33617
88e20522b69c,zip,33618
88e20522b69c,zip,33619
88e20522b69c,zip,33620
88e20522b69c,zip,33621
88e20522b69c,zip,33624
88e20522b69c,zip,33625
88e20522b69c,zip,33626
88e20522b69c,zip,33629
88e20522b69c,zip,33634
88e20522b69c,zip,33635
88e20522b69c,zip,33637
88e20522b69c,zip,33647
88e20522b69c,county,Hillsborough
2fe522599446,zip,33508
2fe522599446,zip,33509
2fe522599446,zip,33510
2fe522599446,zip,33511
2fe522599446,zip,33527
2fe522599446,zip,33530
2fe522599446,zip,33534
2fe522599446,zip,33547
2fe522599446,zip,33548
2fe522599446,zip,33549
2fe522599446,zip,33550
2fe522599446,zip,33556
2fe522599446,zip,33558
2fe522599446,zip,33559
2fe522599446,zip,33563
2fe522599446,zip,33564
2fe522599446,zip,33565
2fe522599446,zip,33566
2fe522599446,zip,33567
2fe522599446,zip,33569
2fe522599446,zip,33570
2fe522599446,zip,33572
2fe522599446,zip,33573
2fe522599446,zip,33578
2fe522599446,zip,33579
2fe522599446,zip,33584
2fe522599446,zip,33586
2fe522599446,zip,33592
2fe522599446,zip,33594
2fe522599446,zip,33596
2fe522599446,zip,33598
2fe522599446,zip,33602
2fe522599446,zip,33603
2fe522599446,zip,33604
2fe522599446,zip,33605
2fe522599446,zip,33606
2fe522599446,zip,33607
2fe522599446,zip,33609
2fe522599446,zip,33610
2fe522599446,zip,33611
2fe522599446,zip,33612
2fe522599446,zip,33613
2fe522599446,zip,33614
2fe522599446,zip,33615
2fe522599446,zip,33616
2fe522599446,zip,33617
2fe522599446,zip,33618
2fe522599446,zip,33619
2fe522599446,zip,33620
2fe522599446,zip,33621
2fe522599446,zip,33624
2fe522599446,zip,33625
2fe522599446,zip,33626
2fe522599446,zip,33629
2fe522599446,zip,33634
2fe522599446,zip,33635
2fe522599446,zip,33637
2fe522599446,zip,33647
2fe522599446,county,Hillsborough
465410d49264,state,Florida
3ecdebd4b9dd,state,Florida
2afa3f00e6a1,state,Florida
048811b628a8,state,Florida
